action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00604,LY-INV-REV-NAT-00049,investment,شاطيء النخيل,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00605,LY-INV-REV-NAT-00050,investment,الدخلة الشمالية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00606,LY-INV-REV-NAT-00051,investment,الدخلة الجنوبية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00607,LY-INV-REV-NAT-00052,investment,الفوار,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00608,LY-INV-REV-NAT-00053,investment,الجولف,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00609,LY-INV-REV-NAT-00054,investment,الحرية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00610,LY-INV-REV-NAT-00055,investment,المنارة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00611,LY-INV-REV-NAT-00056,investment,الحميدية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00612,LY-INV-REV-NAT-00057,investment,مصيف تاجوراء,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00613,LY-INV-REV-NAT-00058,investment,النصر,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00614,LY-INV-REV-NAT-00059,investment,الأندلسي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00615,LY-INV-REV-NAT-00060,investment,النشيع,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00616,LY-INV-REV-NAT-00061,investment,غوط الرمان,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00617,LY-INV-REV-NAT-00062,investment,السليسلة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00618,LY-INV-REV-NAT-00063,investment,العطايا,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00619,LY-INV-REV-NAT-00064,investment,الكراوة-3,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00620,LY-INV-REV-NAT-00065,investment,الكراوة-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00621,LY-INV-REV-NAT-00066,investment,الكراوة-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00622,LY-INV-REV-NAT-00067,investment,سيدي عمير-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00623,LY-INV-REV-NAT-00068,investment,سيدي عمير-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00624,LY-INV-REV-NAT-00069,investment,المثلث الرملي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00625,LY-INV-REV-NAT-00070,investment,الشعاب,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00626,LY-INV-REV-NAT-00071,investment,أبيار السبابيل,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00627,LY-INV-REV-NAT-00072,investment,ملليتة 3,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00628,LY-INV-REV-NAT-00073,investment,البريقاء,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00629,LY-INV-REV-NAT-00074,investment,أبوكشفة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00630,LY-INV-REV-NAT-00075,investment,مصيف بياض,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00631,LY-INV-REV-NAT-00076,investment,البردي-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00632,LY-INV-REV-NAT-00077,investment,العزلية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00633,LY-INV-REV-NAT-00078,investment,دليس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00634,LY-INV-REV-NAT-00079,investment,راس التين,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00635,LY-INV-REV-NAT-00080,investment,الاترون,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00636,LY-INV-REV-NAT-00081,investment,قاريونس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00637,LY-INV-REV-NAT-00082,investment,عين زيانة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00638,LY-INV-REV-NAT-00083,investment,سيدي خليفة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00639,LY-INV-REV-NAT-00084,investment,أبوترابة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00640,LY-INV-REV-NAT-00085,investment,مصيف طلميثة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00641,LY-INV-REV-NAT-00086,investment,طلميثة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00642,LY-INV-REV-NAT-00087,investment,جرجارامه,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00643,LY-INV-REV-NAT-00088,investment,مويلح,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00644,LY-INV-REV-NAT-00089,investment,الحمامة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00645,LY-INV-REV-NAT-00090,investment,أبوشيبة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00646,LY-INV-REV-NAT-00091,investment,المريسة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00647,LY-INV-REV-NAT-00092,investment,قمينس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00648,LY-INV-REV-NAT-00093,investment,جاروتة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00649,LY-INV-REV-NAT-00094,investment,الساحل الغربي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00650,LY-INV-REV-NAT-00095,investment,حبيب,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00651,LY-INV-REV-NAT-00096,investment,كركورة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00652,LY-INV-REV-NAT-00097,investment,الحليسي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00653,LY-INV-REV-NAT-00098,investment,سيدي علي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00654,LY-INV-REV-NAT-00099,investment,دريانة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00655,LY-INV-REV-NAT-00100,investment,مبنى,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00656,LY-INV-REV-NAT-00101,investment,البرسس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00657,LY-INV-REV-NAT-00102,investment,العقورية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00658,LY-INV-REV-NAT-00103,investment,بابا طلميثة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00659,LY-INV-REV-NAT-00104,investment,عقلة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00660,LY-INV-REV-NAT-00105,investment,نوطة سوسة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
